,YEAR,SSP,cator,GDP,POP,CCF,人均CCF,BA,LDP,UR,FCE_P,FCE,SLUDGE_PRED,Landfill_2015,Incineration_2015,Land_application_2015,Building_material_2015,Landfill_percent_2015,Incineration_percent_2015,Land_application_percent_2015,Building_material_percent_2015,Landfill_percent_2030,Incineration_percent_2030,Land_application_percent_2030,Building_material_percent_2030,other,Landfill_percent_new,Incineration_percent_new,Land_application_percent_new,Building_material_percent_new,Landfill_2015_standard_future,Incineration_2015_standard_future,Land_application_2015_standard_future,Building_material_2015_standard_future,Landfill_2015_standard_future_GHG_Before_AD,Incineration_2015_standard_future_GHG_Before_AD,Land_application_2015_standard_future_GHG_Before_AD,Building_material_2015_standard_future_GHG_Before_AD,Landfill_2015_standard_future_GHG_After_AD,Incineration_2015_standard_future_GHG_After_AD,Land_application_2015_standard_future_GHG_After_AD,Building_material_2015_standard_future_GHG_After_AD,Sum_2015_standard_future_GHG_Before_AD,Sum_2015_standard_future_GHG_After_AD,PGER_2015_standard_future,Landfill_new_standard_future,Incineration_new_standard_future,Land_application_new_standard_future,Building_material_new_standard_future,Landfill_new_standard_future_GHG_Before_AD,Incineration_new_standard_future_GHG_Before_AD,Land_application_new_standard_future_GHG_Before_AD,Building_material_new_standard_future_GHG_Before_AD,Landfill_new_standard_future_GHG_After_AD,Incineration_new_standard_future_GHG_After_AD,Land_application_new_standard_future_GHG_After_AD,Building_material_new_standard_future_GHG_After_AD,Sum_new_standard_future_GHG_Before_AD,Sum_new_standard_future_GHG_After_AD,PGER_new_standard_future,Unnamed: 0,SSP1_2060,SSP2_2060,SSP3_2060,SSP4_2060,SSP5_2060,SLUDGE_2017,PSSP1_2060,PSSP2_2060,PSSP3_2060,PSSP4_2060,PSSP5_2060
0,2025,SSP1,6,1133259.341745,1323046195,28974711670.8,1800,65212.4194386,859852.7064499999,1942.0569307,260289.91003199999,76782.875591,17214.140517350002,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,8409.68335298157,2795.855145068881,3393.2460535356877,2615.3559657638607,16.752089239139288,16.355752598652952,1.7271622412496646,15.273678840060944,4.7767001444935335,11.183420580275525,1.1910293647910264,2.202129723173171,50.10868291910286,19.35327981273326,-30.7554031063696,860.7070258675,860.7070258675,12049.898362144999,3442.82810347,1.7145283955280601,5.035136101324875,6.133398266331805,20.106116124264798,0.48888159069274,3.44282810347,4.229514325112895,2.89886126312174,32.98917888744954,11.060085282397376,-21.929093605052163,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
1,2025,SSP2,6,1103714.987609,1349025292,34467596210.6,2100,67841.9672779,882928.885873,1964.42856145,266568.638163,81120.6237099,17102.91055325,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,8367.352626467891,2805.449509832121,3294.242333160483,2635.866083789505,16.667766431924036,16.41187963251791,1.6767693475786856,15.393457929330708,4.7526562918337625,11.221798039328483,1.1562790589393295,2.219399242550763,50.149873341351345,19.35013263265234,-30.799740708699,855.1455276625002,855.1455276625002,11972.037387275,3420.5821106500007,1.7034498911037,5.0026013368256255,6.093767030122975,19.976199526196,0.4857226597123001,3.4205821106500003,4.202185122933525,2.8801301371673,32.776017784248296,10.988620030463126,-21.787397753785175,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
2,2025,SSP3,6,1100747.255264,1323826544,43487701970.4,2700,70678.2407409,951128.8174709999,2017.57812131,290109.565085,89701.05066570001,17280.521112100003,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,8329.17279551154,2936.993063384308,3309.1205029670755,2705.234750237076,16.59171220865899,17.1814094207982,1.6843423360102414,15.798570941384526,4.730970147850556,11.747972253537231,1.1615012965414435,2.277807659699618,51.25603490685196,19.918251357628847,-31.337783549223108,864.0260556050001,864.0260556050001,12096.364778469999,3456.1042224200005,1.72113990276516,5.054552425289251,6.15704967224123,20.1836486589328,0.49076679958364,3.4561042224200005,4.245824037242969,2.9100397552776402,33.11639065922844,11.10273481452425,-22.013655844704193,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
3,2025,SSP4,6,1125381.652947,1319085308,38517290993.4,2400,68966.449234,907470.477978,1989.92911087,280810.729046,84985.9575116,17372.362195250003,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,8486.31500853848,2855.749342115566,3360.655636630743,2669.642207965211,16.904739497008656,16.70613365137606,1.7105737190450483,15.590710494516834,4.820226924849857,11.422997368462262,1.179590128457391,2.2478387391067076,50.9121573619466,19.67065316087622,-31.241504201070377,868.6181097625,868.6181097625,12160.653536675,3474.47243905,1.7302872746469,5.081415942110626,6.1897726501675745,20.290919044052,0.4933750863451001,3.4744724390500004,4.268389391372925,2.9255057936801,33.292394910977094,11.161742710448127,-22.130652200528978,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
4,2025,SSP5,6,1068380.944858,1370006338,50005231340.5,3000,72176.6502952,978506.8692160001,2049.451831,300935.28502,97237.1686558,17040.2646668,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,8203.429828749995,2913.144045366277,3356.8026865725788,2566.8881061111483,16.341232218869994,17.041892665392723,1.7086125674654424,14.990626539689107,4.659548142729998,11.652576181465108,1.1782377429869748,2.161319785345587,50.08236399141727,19.651681852527666,-30.4306821388896,852.01323334,852.01323334,11928.18526676,3408.05293336,1.6972103608132802,4.984277415039,6.07144630078084,19.9030291308224,0.4839435165371201,3.40805293336,4.18679302863276,2.86958056988912,32.65596320745552,10.948370048419,-21.70759315903652,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
5,2030,SSP1,6,1413810.883144,1322687571,28966857805.8,1800,69306.2788862,947901.333064,1970.3105961400001,266734.211721,80217.9720468,18208.47777225,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,8977.956748665802,2929.8118097926363,3578.4342789939005,2722.2749347976633,17.884089843342277,17.139399087286925,1.8214230480078952,15.898085619218353,5.099479433242175,11.719247239170546,1.256030431926859,2.2921554950996326,52.74299759785545,20.366912599439214,-32.37608499841623,910.4238886125,910.4238886125,12745.934440575,3641.69555445,1.8135643861161002,5.3259797483831255,6.487680630252674,21.267502037988002,0.5171207687319,3.6416955544500005,4.4738229886418255,3.0663076568469005,34.8947268027399,11.698946968670626,-23.195779834069274,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
6,2030,SSP2,6,1358636.34971,1355482777,34632584953.05,2100,73861.9794854,988402.1158970001,1999.93683788,274792.934757,85989.89127950002,18568.9773351,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,9177.846440761707,2982.2208192708863,3636.0543953043066,2772.8556797631018,18.28227010999732,17.445991792734684,1.850751687209892,16.193477169816514,5.213016778352649,11.928883277083546,1.2762550927518113,2.3347444823605326,53.77249075975841,20.752899630548537,-33.01959112920987,928.4488667549999,928.4488667549999,12998.28413457,3713.7954670199997,1.84947014257596,5.431425870516749,6.61612662449613,21.6885655273968,0.52735895631684,3.7137954670200006,4.5623977312340696,3.12701578323084,35.58558816498564,11.930567937801749,-23.65502022718389,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
7,2030,SSP3,6,1389413.7602630001,1324313536,43503699658.6,2700,79198.6408369,1118032.167867,2073.7446411299998,307576.947341,98894.8683155,19269.5123493,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,9410.57088954034,3195.912248350802,3761.3384661169002,2901.6907452919572,18.74585721196436,18.69608665285219,1.9145212792535027,16.94587395250503,5.345204265258914,12.783648993403208,1.3202298016070322,2.443223607535828,56.30233909657508,21.892306667804984,-34.410032428770094,963.4756174650001,963.4756174650001,13488.658644510002,3853.9024698600006,1.9192434299902803,5.63633236217025,6.865727250055589,22.5067904239824,0.54725415072012,3.8539024698599995,4.734519184223009,3.24498587962212,36.928093466198526,12.38066168442525,-24.54743178177327,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
8,2030,SSP4,6,1385334.9016769999,1313453020,38352828184.2,2400,75926.5810909,1032704.247734,2034.6051490700002,294198.835912,91308.2590983,18901.45629565,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,9355.88183728615,3067.2748378543633,3672.6857150750157,2805.613905434473,18.636916619874004,17.943557801448033,1.8693970289731834,16.384785207737323,5.314140883578531,12.269099351417454,1.2891126859913307,2.3623269083758265,54.83465665803254,21.234679829363145,-33.5999768286694,945.0728147825,945.0728147825,13231.019406955002,3780.29125913,1.8825850470467402,5.528675966477626,6.734588878140095,22.0769009533192,0.53680135879646,3.7802912591299997,4.644087811841205,3.18300524018746,36.22275084498366,12.144185669955124,-24.078565175028537,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
9,2030,SSP5,6,1276203.7648969998,1381404736,50421272869.5,3000,82320.0139011,1176443.048901,2120.8218482,323983.326206,109847.9442448,19521.53176015,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,9583.701460016317,3229.0050769395657,3865.994455425619,2842.8307677685016,19.0907333083525,18.88967970009646,1.9677911778116397,16.602131683768047,5.443542429289266,12.916020307758263,1.3569640538543921,2.3936635064610785,56.55033587002864,22.110190297363,-34.44014557266564,976.0765880075,976.0765880075,13665.072232105002,3904.30635203,1.9443445633109402,5.710048039843875,6.9555217661414455,22.8011490958552,0.5544115019882601,3.90430635203,4.796440353468855,3.2874259484092603,37.411063465151464,12.542584155896375,-24.868479309255086,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
10,2035,SSP1,6,1689701.069617,1317460202,28852378423.799995,1800,71874.919157,997856.793354,1986.51795936,269832.14550000004,81860.34794980001,18823.40943885,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,9323.772279393925,2972.5442738064544,3765.2039093567296,2761.8889762928916,18.572954380552698,17.38938400176776,1.9164887898625755,16.129431621550488,5.295902654695749,11.890177095225818,1.3215865721842122,2.325510518038615,54.00825879373352,20.833176840144393,-33.17508195358913,941.1704719425002,941.1704719425002,13176.386607194998,3764.6818877700007,1.8748115801094603,5.505847260863625,6.7067807830622534,21.985742224576803,0.5345848280633401,3.7646818877700006,4.624911699125445,3.1698621495023405,36.073181848612144,12.094040564461126,-23.979141284151016,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
11,2035,SSP2,6,1604287.918547,1356524022,34659188762.4,2100,78192.4984275,1052529.438635,2021.5003698100002,278993.303479,88686.5445588,19599.20111985,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,9733.64450450237,3089.3848353854446,3890.4731825244025,2885.698597437783,19.38941985296872,18.07290128700485,1.9802508499049212,16.85247980903665,5.528710078557347,12.357539341541779,1.3655560870660652,2.429758219042613,56.29505179891515,21.681563726207802,-34.61348807270735,979.9600559925001,979.9600559925001,13719.440783895,3919.8402239700004,1.9520804315370601,5.732766327556126,6.983195359002555,22.8918669079848,0.55661731180374,3.9198402239699996,4.815523715147144,3.30050546858274,37.55990902608053,12.592486719503626,-24.967422306576914,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
12,2035,SSP3,6,1693733.108366,1319974963,43361177535.00001,2700,86120.04638500001,1238123.755659,2111.93351023,318545.21587,105014.9422359,21131.42133325,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,10534.363249230577,3308.3892975616213,4232.403650982537,3056.265135475265,20.98445159246731,19.354077390735487,2.1542934583501117,17.848588391175554,5.983518325562967,13.233557190246483,1.4855736814948703,2.573375244070174,60.34141083272845,23.276024441374496,-37.06538639135396,1056.5710666625,1056.5710666625,14791.994933275,4226.28426665,2.1046895647917006,6.180940739975625,7.529125421036974,24.681500117236002,0.6001323658643,4.2262842666500005,5.191990221579524,3.5585313525193008,40.4962558430403,13.576938206613125,-26.919317636427177,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
13,2035,SSP4,6,1626120.8868150003,1301928454,38016310856.200005,2400,81188.1590662,1113415.81703,2063.2574950499998,302008.64003199997,94779.71400010001,19997.7433355,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,9960.767165184228,3172.813861427795,3924.4693360657448,2939.6929728222312,19.841848193046985,18.560961089352606,1.997554892057464,17.16780696128183,5.657715749824643,12.691255445711182,1.377488736959076,2.4752214831163184,57.56817113573888,22.201681415611223,-35.36648972012766,999.887166775,999.887166775,13998.42033485,3999.5486671,1.9917752362158003,5.84933992563375,7.125195950438649,23.357364215864003,0.5679359107282,3.9995486671000005,4.91344553753235,3.3676199776982,38.3236753281522,12.848550093058751,-25.475125235093454,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
14,2035,SSP5,6,1459924.750982,1391190623,50778457744.0,3000,91132.13676010001,1329670.7918659998,2172.62768782,339688.462749,119293.93147139999,21520.07483075,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,10694.793764432148,3375.373713415092,4328.394734321748,3121.5126185810136,21.304029178748834,19.74593622347829,2.2031529197697703,18.229633692513122,6.0746428581974605,13.501494853660368,1.5192665517469335,2.6283136248452132,61.48275201451002,23.723717888449976,-37.75903412606004,1076.0037415375,1076.0037415375,15064.052381524998,4304.01496615,2.1433994531427003,6.294621887994376,7.6676026621962245,25.135447402316004,0.6111701251932999,4.3040149661500005,5.2874823859152755,3.6239806014983005,41.2410714056493,13.826648078756877,-27.41442332689243,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
15,2040,SSP1,6,1937657.1638399998,1308788920,28662477346.6,1800,73430.7350287,1024222.141879,1995.78295204,271303.32897699997,82449.0192749,19550.849243700002,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,9889.433238314385,2997.29941532623,3888.046520458788,2776.070069600598,19.699751010722252,17.534201579658447,1.9790156789135231,16.212249206467494,5.61719807936257,11.989197661304921,1.3647043286810345,2.3374509986037033,55.425217475761706,21.308551067952227,-34.11666640780948,977.542462185,977.542462185,13685.594470589998,3910.16984874,1.94726458467252,5.718623403782249,6.965967585530309,22.835391916641605,0.5552441185210801,3.9101698487400007,4.80364365917709,3.29236301263908,37.46724749062669,12.561420639077248,-24.90582685154943,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
